"Poll ""XX NNN Supplemental Instruction Sessions""",,,,,,
http://doodle.com/poll/????????????????????,,,,,,
,,,,,,
,Mondays 10:00-10:50am,Mondays 11:00-11:50am,Mondays 3:30-4:20pm,Wednesdays 10:00-10:50am,Wednesdays 11:00-11:50am,Wednesdays 3:30-4:20pm
e,,,,,OK,
b,,,,,,OK
n p,,OK,,,OK,
d d,,,,,,
a a,,,,,,OK
m f,,,,OK,OK,
m r,,,OK,,,
l g,,,OK,,,
j s,OK,OK,,,,
j a,,,,OK,,OK
b a,,,OK,OK,,OK
g l,,,OK,,,OK
a k,,OK,,,,
s b,OK,OK,,OK,OK,
j b,,,OK,,,
e t,OK,,OK,,,
t s,,,OK,,,
t t,,,OK,,,
k s,OK,OK,,OK,OK,OK
g k,,,,OK,,
d m,,OK,,,,OK
d l ,,,,,,OK
e r,OK,OK,OK,OK,OK,
j k,,OK,OK,,,
j t,,,OK,,,OK
a p,,,OK,,,OK
k d,,,OK,,,OK
a c,,,,,,OK
e s,OK,,,OK,,
k o,,,,,OK,
d c,,,OK,,,OK
j c,OK,,,OK,,
m w,,,OK,,,OK
d t,,,OK,,,
e b,,,,,,
j d,,,,,,
f t,,,OK,,,OK
n t,OK,OK,,OK,OK,
Count,8,9,17,10,8,15
